target,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,rank,log_likelihood_total,log_likelihood_avg,num_words
COCCCOc1cc(C[C@@H](C(=O)O)C(C)C)ccc1OC,COCCCOc1cc(C[C@@H](C(=O)O)C(C)C)ccc1OC,COCCCOc1cc(C[C@H](C(=O)O)C(C)C)ccc1OC,COCCCOc1cc(C[C](C(=O)O)C(C)C)ccc1OC,COCCCOc1cc(C[CH](C(=O)O)C(C)C)ccc1OC,CO=COc1cc(C[C@@H](C(=O)O)C(C)C)ccc1OC,1,-0.08143353462219238,-0.002544797956943512,32
CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[CO[C@H](C)c1ccccc1,CC[C@@H](NC(C)=O)c1ccccc1,COc1ccccc1[C@H](C)NC(C)=O,1,-0.09230982512235641,-0.004395706113427877,21
CCOC(=O)C[C@@H](NC(C)=O)c1ccc(Cl)cc1,CCOC(=O)C[C@@H](NC(C)=O)c1ccc(Cl)cc1,CCOC(=O)C[C@H](NC(C)=O)c1ccc(Cl)cc1,CCOC(=O)C[CC@@H](NC(C)=O)c1ccc(Cl)cc1,CCOC(=O)C[C]@@H](NC(C)=O)c1ccc(Cl)cc1,CCOC(=O)C[CH](NC(C)=O)c1ccc(Cl)cc1,1,-0.010024677030742168,-0.0003233766765333712,31
CC(=O)N[C@H]1CCCC[C@H]1Cc1ccccc1,CC(=O)N[C@H]1CCCC[C@H]1Cc1ccccc1,CC(=O)N[C@@H]1CCCC[C@@H]1Cc1ccccc1,CC(=O)N[C@@H]1CCCC[C@H]1Cc1ccccc1,CC(=O)N[C@H]1CCCC[C@@H]1Cc1ccccc1,CC(=O)N[CC@H]1CCCC[C@H]1Cc1ccccc1,1,-0.5721109509468079,-0.01972796395421028,29
COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[CC@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C]@@H](Cc1ccccc1)NC(C)=O,COC(=O)[C=C/c1ccccc1)NC(C)=O,1,-0.05677717551589012,-0.002183737466111779,26
CC(=O)N[C@@H](C)c1ccc(Cl)cc1,CC(=O)N[C@@H](C)c1ccc(Cl)cc1,CC(=O)N[C@H](C)c1ccc(Cl)cc1,CC(=O)N[CC@@H](C)c1ccc(Cl)cc1,CC[C@@H](NC(C)=O)c1ccc(Cl)cc1,CC(=O)N[C(@@H](C)c1ccc(Cl)cc1,1,-0.11967156827449799,-0.0049863154999911785,24
CC(C)=CCC[C@@H](C)CCO,CC(C)=CCC[C@@H](C)CCO,CC(C)=CCC[C@H](C)CCO,CC(C)CCC[C@@H](C)CCO,CC(C)CCCC[C@@H](C)CCO,CC(C)=CC/C[C@@H](C)CCO,1,-0.022762104868888855,-0.0012645614333450794,18
O=C1C[C@H](c2ccccc2)CN1,O=C1C[C@@H](c2ccccc2)CN1,O=C1C[C@H](c2ccccc2)CN1,O=C1C[C@@H](c2ccccc2)cn1,O=C1C[C@H](c2ccccc2)cn1,O=C1C[C@@H](c2ccccc2)Cl1,2,-0.7160881757736206,-0.03409943729639053,21
Fc1ccc([C@@H]2Cc3ccccc3O2)cc1,Fc1ccc([C@@H]2Cc3ccccc3O2)cc1,Fc1ccc([C@H]2Cc3ccccc3O2)cc1,Fc1ccc([CC@@H]2Cc3ccccc3O2)cc1,Fc1ccc([C[C@@H]2Cc3ccccc3O2)cc1,Fc1ccc([C@@H]2CCOc3ccccc3O2)cc1,1,-0.0376773402094841,-0.0015070936642587185,25
CCOC(=O)C[C@H]1CCCCC1C(=O)OC,CCOC(=O)C[C@H]1CCCCC1C(=O)OC,CCOC(=O)C[C@@H]1CCCCC1C(=O)OC,CCOC(=O)C[CO[C@H]1CCCCC1C(=O)OC,CCOC(=O)C[C[C@H]1CCCCC1C(=O)OC,CCOC(=O)C[CC@H]1CCCCC1C(=O)OC,1,-0.13801023364067078,-0.005308086052536964,26
COC(=O)[C@@H](CCCCC1OCCO1)NC=O,COC(=O)[C@@H](CCCCC1OCCO1)NC=O,COC(=O)[C@H](CCCCC1OCCO1)NC=O,COC(=O)[CC@@H](CCCCC1OCCO1)NC=O,COC(=O)[C@@H](CCCCCCOCCO1)NC=O,COC(=O)[CC@H](CCCCC1OCCO1)NC=O,1,-0.012371287681162357,-0.0005378820933401585,23
C[C@H](C(=O)O)c1ccccc1,C[C@H](C(=O)O)c1ccccc1,C[C@@H](C(=O)O)c1ccccc1,CO[C@H](C)C(=O)O)c1ccccc1,C[CC@H](C(=O)O)c1ccccc1,C[C/C(=O)O[C@H](C)c1ccccc1,1,-0.03796740621328354,-0.0018079717410728335,21
CC(=O)N[C@H]1CCc2ccccc2C1,CC(=O)N[C@H]1CCc2ccccc2C1,CC(=O)N[C@@H]1CCc2ccccc2C1,CC(=O)N[C[C@H]1CCc2ccccc2C1,CC(=O)N[CO[C@H]1CCc2ccccc2C1,CC(=O)N[CCC@H]1CCc2ccccc2C1,1,-0.2758623957633972,-0.011994017288088799,23
OC[C@H]1COc2ccccc2O1,OC[C@H]1COc2ccccc2O1,OC[C@@H]1COc2ccccc2O1,OC[C]O[C@H]1COc2ccccc2O1,OC[C]O[C@@H]1COc2ccccc2O1,OC[C=O[C@H]1COc2ccccc2O1,1,-0.4738478362560272,-0.026324879378080368,18
CCOC(=O)C[C@@H](C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,CCOC(=O)C[C@H](C)c1ccccc1,CCOC(=O)C[CC@@H](C)c1ccccc1,CCOC(=O)C[CC@H](C)c1ccccc1,CCOC(=O)C[C=C(C)c1ccccc1,1,-0.21234209835529327,-0.009232264943420887,23
O=C1C[C@H](Cc2ccc(F)cc2)CCN1,O=C1C[C@H](Cc2ccc(F)cc2)CCN1,O=C1C[C@@H](Cc2ccc(F)cc2)CCN1,O=C1C[CC@H](Cc2ccc(F)cc2)CCN1,O=C1C[C@H](Cc2ccc(F)cc2)CC21,O=C1C[C=C(Cc2ccc(F)cc2)CCN1,1,-0.09717853367328644,-0.003737635910511017,26
CCC[C@@H](C[N+](=O)[O-])NC(C)=O,CCC[C@H](C[N+](=O)[O-])NC(C)=O,CCC[C@@H](C[N+](=O)[O-])NC(C)=O,CCC[C/C[C@H](C[N+](=O)[O-])NC(C)=O,CCC[C[C@H](C[N+](=O)[O-])NC(C)=O,CCC[C[C@@H](C[N+](=O)[O-])NC(C)=O,2,-0.9803962111473083,-0.03770754486322403,26
C[C@@H](Cc1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,C[CC@@H](Cc1ccccc1)c1ccccc1,C[C[C@@H](Cc1ccccc1)c1ccccc1,C[C/C(=O)C[C@H](C)c1ccccc1,1,-0.045437876135110855,-0.0020653579849749804,22
CC[C@H](C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,CC[CC@H](C)c1ccc(OC)cc1,CC[C]@H](C)c1ccc(OC)cc1,CC[CH](C)c1ccc(OC)cc1,1,-0.0840124562382698,-0.004421708174049854,19
C[C@@H](CO)Cc1ccccc1,C[C@@H](CO)Cc1ccccc1,C[C@H](CO)Cc1ccccc1,C[CC@@H](CO)Cc1ccccc1,C[C[C@@H](CO)Cc1ccccc1,CC(CO)[C@@H](C)c1ccccc1,1,-0.17067573964595795,-0.010039749555289745,17
CCCC[C@@H](OC(=O)c1ccccc1)P(=O)(OC)OC,CCCC[C@@H](OC(=O)c1ccccc1)P(=O)(OC)OC,CCCC[C@H](OC(=O)c1ccccc1)P(=O)(OC)OC,CCCC[CC@@H](OC(=O)c1ccccc1)P(=O)(OC)OC,CCCC[C[C@@H](OC(=O)c1ccccc1)P(=O)(OC)OC,CCCC[C]@@H](OC(=O)c1ccccc1)P(=O)(OC)OC,1,-0.06582477688789368,-0.0022698198445141315,29
COC(=O)[C@H](Cc1ccc(Br)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc(Br)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(Br)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1Br)NC(C)=O,COC(=O)[C@H](Cc1ccC(Br)cc1)NC(C)=O,COC(=O)[CC@H](Cc1ccc(Br)cc1)NC(C)=O,1,-0.015108630992472172,-0.0005209872615523636,29
CC[C@@H](NC(C)=O)C(=O)OC,CC[C@@H](NC(C)=O)C(=O)OC,CC[C@H](NC(C)=O)C(=O)OC,CC[C]@@H](NC(C)=O)C(=O)OC,CC[CC@@H](NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,1,-0.022940367460250854,-0.0010923984227702022,21
CC(=O)N[C@@H](C)C1=CC=CCC=C1,CC(=O)N[C@H](C)C1=CC=CCC=C1,CC(=O)N[C@@H](C)C1=CC=CCC=C1,CC(=O)N[C@H](C)/C1=CC=CCC=C1,CC(=O)N[C@@H](C)/C1=CC=CCC=C1,CC=O)N[C@H](C)C1=CC=CCC=C1,2,-2.7867677211761475,-0.11147070676088333,25
Brc1ccc2c(c1)CCC[C@H]2c1ccccc1,Brc1ccc2c(c1)CCC[C@@H]2c1ccccc1,Brc1ccc2c(c1)CCC[C@H]2c1ccccc1,BSc1ccc2c(c1)CCC[C@@H]2c1ccccc1,BSc1ccc2c(c1)CCC[C@H]2c1ccccc1,Scrc1ccc2c(c1)CCC[C@@H]2c1ccccc1,2,-1.936280369758606,-0.07171408832073212,27
COC(=O)[C@@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,CC[C@@H](NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,CC[C@H](NC(C)=O)C(=O)OC,CC(=O)N[C@H](C)C(=O)OC,1,-0.2538920044898987,-0.01269460003823042,20
CC[C@H](C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,CC[CC@H](C)c1ccc(OC)cc1,CC[C]@H](C)c1ccc(OC)cc1,CC[CH](C)c1ccc(OC)cc1,1,-0.0840124562382698,-0.004421708174049854,19
C[C@@H](Cc1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,C[CC@@H](Cc1ccccc1)c1ccccc1,C[C[C@@H](Cc1ccccc1)c1ccccc1,C[C/C(=O)C[C@H](C)c1ccccc1,1,-0.045437876135110855,-0.0020653579849749804,22
CCOC(=O)C[C@@H](Sc1ccccc1)c1ccccc1OC,CCOC(=O)C[C@@H](Sc1ccccc1)c1ccccc1OC,CCOC(=O)C[C@H](Sc1ccccc1)c1ccccc1OC,CCOC(=O)C[CC@@H](Sc1ccccc1)c1ccccc1OC,CCOC(=O)C[CC@H](Sc1ccccc1)c1ccccc1OC,CCOC(=O)C[C]Sc1ccccc1)c1ccccc1OC,1,-0.4620773494243622,-0.015933701768517494,29
COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,COC(=O)[CC@H](Cc1ccccc1)NC(C)=O,COC(=O)[C[C@H](Cc1ccccc1)NC(C)=O,COC(=O)[COBC@H](Cc1ccccc1)NC(C)=O,1,-0.00965804886072874,-0.00037146342219784856,26
COC(=O)[C@@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,CC[C@@H](NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,CC[C@H](NC(C)=O)C(=O)OC,CC(=O)N[C@H](C)C(=O)OC,1,-0.2538920044898987,-0.01269460003823042,20
O=C1N[C@H](c2ccccc2)CO1,O=C1N[C@H](c2ccccc2)CO1,O=C1N[C@@H](c2ccccc2)CO1,O=C1N[C[C@H](c2ccccc2)CO1,O=C1N[C[C@@H](c2ccccc2)CO1,O=C1N[CC@H](c2ccccc2)CO1,1,-0.30564576387405396,-0.01455456018447876,21
CC(=O)N[C@@H](C[N+](=O)[O-])c1ccccc1,CC(=O)N[C@@H](C[N+](=O)[O-])c1ccccc1,CC(=O)N[C@H](C[N+](=O)[O-])c1ccccc1,CC(=O)N[C[C@@H](C[N+](=O)[O-])c1ccccc1,CC(=O)N[CC@@H](C[N+](=O)[O-])c1ccccc1,CC(=O)N[C[C@H](C[N+](=O)[O-])c1ccccc1,1,-0.21298228204250336,-0.0070994095876812935,30
COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,CC[C@@H](NC(C)=O)C(=O)OC,CC(=O)N[C@@H](C)C(=O)OC,CC(=O)N[C@H](C)C(=O)OC,1,-0.6104688048362732,-0.03052343986928463,20
C[C@H](Cc1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,C[CC@H](Cc1ccccc1)c1ccccc1,CC[C@H](C)c1ccc(OC)cc1,C[CH](Cc1ccccc1)c1ccccc1,1,-0.012653599493205547,-0.000575163634493947,22
COC(=O)[C@@H](CCCN1C(=O)c2ccccc2C1=O)NC(C)=O,COC(=O)[C@@H](CCCN1C(=O)c2ccccc2C1=O)NC(C)=O,COC(=O)[C@H](CCCN1C(=O)c2ccccc2C1=O)NC(C)=O,COC(=O)[C@@H](CCCCCN1C(=O)c2ccccc2C1=O)NC(C)=O,COC(=O)[C@@H](CCNC1C(=O)c2ccccc2C1=O)NC(C)=O,COC(=O)[C@@H](CC(=O)c2ccccc2C1=O)NC(C)=O,1,-0.09227832406759262,-0.002494008745998144,37
CC[C@@H](CC(=O)OC)NC(C)=O,CC[C@@H](CC(=O)OC)NC(C)=O,CC[C@H](CC(=O)OC)NC(C)=O,CC[C[C@@H](CC(=O)OC)NC(C)=O,CC[C[C@H](CC(=O)OC)NC(C)=O,CC[CC@@H](CC(=O)OC)NC(C)=O,1,-0.54105544090271,-0.025764545425772667,21
O=C(N[C@H]1CCc2ccccc2C1)c1ccccc1,O=C(N[C@H]1CCc2ccccc2C1)c1ccccc1,O=C(N[C@@H]1CCc2ccccc2C1)c1ccccc1,O=C(N[C[C@H]1CCc2ccccc2C1)c1ccccc1,O=C(N[C[C@@H]1CCc2ccccc2C1)c1ccccc1,O=C(N[CC@H]1CCc2ccccc2C1)c1ccccc1,1,-0.31547868251800537,-0.010878575034439564,29
CC(=O)N[C@H]1C=C(c2ccccc2)CCC1,CC(=O)N[C@H]1C=C(c2ccccc2)CCC1,CC(=O)N[C@@H]1C=C(c2ccccc2)CCC1,CC(=O)N[C@H]1C=C(-c2ccccc2)CCC1,CC(=O)N[C=C1C=C(c2ccccc2)CCC1,CC(=O)N[C@H]1C=C(/c2ccccc2)CCC1,1,-0.040398791432380676,-0.0014428140129894018,28
CC(=O)N[C@H](C[N+](=O)[O-])c1ccccc1,CC(=O)N[C@@H](C[N+](=O)[O-])c1ccccc1,CC(=O)N[C@H](C[N+](=O)[O-])c1ccccc1,CC(=O)N[C[C@@H](C[N+](=O)[O-])c1ccccc1,CC(=O)N[CC@@H](C[N+](=O)[O-])c1ccccc1,CC(=O)N[C[C@H](C[N+](=O)[O-])c1ccccc1,2,-1.651254653930664,-0.05504182353615761,30
CCOC(=O)C[C@@H](C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,CCOC(=O)C[C@H](C)c1ccccc1,CCOC(=O)C[CC@@H](C)c1ccccc1,CCOC(=O)C[CC@H](C)c1ccccc1,CCOC(=O)C[C=C(C)c1ccccc1,1,-0.21234209835529327,-0.009232264943420887,23
CC(=O)N[C@H]1CCc2ccccc2C1,CC(=O)N[C@H]1CCc2ccccc2C1,CC(=O)N[C@@H]1CCc2ccccc2C1,CC(=O)N[C[C@H]1CCc2ccccc2C1,CC(=O)N[CO[C@H]1CCc2ccccc2C1,CC(=O)N[CCC@H]1CCc2ccccc2C1,1,-0.2758623957633972,-0.011994017288088799,23
COC(=O)[C@H](Cc1cccnc1)NC(C)=O,COC(=O)[C@H](Cc1cccnc1)NC(C)=O,COC(=O)[C@@H](Cc1cccnc1)NC(C)=O,COC(=O)[C@H](Cc1ccCNc1)NC(C)=O,COC(=O)[CC@H](Cc1cccnc1)NC(C)=O,COC(=O)[C@H](Cc1cccsc1)NC(C)=O,1,-0.00926156248897314,-0.0003562139463610947,26
C[C@H](CO)Cc1ccccc1,C[C@H](CO)Cc1ccccc1,C[C@@H](CO)Cc1ccccc1,CC(CO)[C@H](C)c1ccccc1,C[CC@H](CO)Cc1ccccc1,C[CCOC(=O)[C@H](C)CO,1,-0.1442783921957016,-0.00848696380853653,17
C[C@@H](Cc1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,C[CC@@H](Cc1ccccc1)c1ccccc1,C[C[C@@H](Cc1ccccc1)c1ccccc1,C[C/C(=O)C[C@H](C)c1ccccc1,1,-0.045437876135110855,-0.0020653579849749804,22
CCCC[C@@H](C)c1ccccc1,CCCC[C@@H](C)c1ccccc1,CCCC[C@H](C)c1ccccc1,CCCC[Cc1ccccc1.CCCC[C@@H](C)c1ccccc1,CCCC[Cc1ccccc1.CCCC[C@H](C)c1ccccc1,CCCC[C=C(c1ccccc1)[C@@H](C)CCCC,1,-0.13106286525726318,-0.007709580473601818,17
CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,CC(=O)N[CO[C@H](C)c1ccccc1,CC[C@@H](NC(C)=O)c1ccccc1,COc1ccccc1[C@H](C)NC(C)=O,1,-0.09230982512235641,-0.004395706113427877,21
CCOC(=O)[C@@H]1c2ccccc2CN[C@@H]1C,CCOC(=O)[C@@H]1c2ccccc2CN[C@@H]1C,CCOC(=O)[C@H]1c2ccccc2CN[C@H]1C,CCOC(=O)[C@@H]1c2ccccc2CN[C@H]1C,CCOC(=O)[C@H]1c2ccccc2CN[C@@H]1C,CCOC(=O)[CC@@H]1c2ccccc2CN[C@@H]1C,1,-0.13198745250701904,-0.004713837523013353,28
CCC[C@H](NC(C)=O)c1ccccc1,CCC[C@H](NC(C)=O)c1ccccc1,CCC[C@@H](NC(C)=O)c1ccccc1,CCC[CO@H](NC(C)=O)c1ccccc1,CCC[COBH](NC(C)=O)c1ccccc1,CCC[C#H](NC(C)=O)c1ccccc1,1,-0.5322902202606201,-0.024195009842514992,22
C[C@@H](Nc1ccccc1)c1ccccc1,C[C@H](Nc1ccccc1)c1ccccc1,C[C@@H](Nc1ccccc1)c1ccccc1,CC[C@@H](Nc1ccccc1)c1ccccc1,CC[C@H](Nc1ccccc1)c1ccccc1,CC(=O)Nc1ccccc1.CC[C@@H](C)c1ccccc1,2,-0.7205004692077637,-0.032750021666288376,22
C[C@H](C(=O)O)c1ccccc1,C[C@H](C(=O)O)c1ccccc1,C[C@@H](C(=O)O)c1ccccc1,CO[C@H](C)C(=O)O)c1ccccc1,C[CC@H](C(=O)O)c1ccccc1,C[C/C(=O)O[C@H](C)c1ccccc1,1,-0.03796740621328354,-0.0018079717410728335,21
CCOC(=O)[C@@H](F)[C@H](C(=O)OCC)c1ccc(C(F)(F)F)cc1,CCOC(=O)[C@@H](F)[C@H](C(=O)OCC)c1ccc(C(F)(F)F)cc1,CCOC(=O)[C@H](F)[C@H](C(=O)OCC)c1ccc(C(F)(F)F)cc1,CCOC(=O)[C@@H](F)[C@@H](C(=O)OCC)c1ccc(C(F)(F)F)cc1,CCOC(=O)[C@H](F)[C@@H](C(=O)OCC)c1ccc(C(F)(F)F)cc1,CCOC(=O)[C@@H](F)[C@H](C(=O)OCC)c1ccc(C(S)(F)F)cc1,1,-0.003385017393156886,-8.059565152507275e-05,42
C[C@@H](CC(=O)c1ccc(Cl)cc1)C(=O)O,C[C@@H](CC(=O)c1ccc(Cl)cc1)C(=O)O,C[C@H](CC(=O)c1ccc(Cl)cc1)C(=O)O,C[CC@@H](CC(=O)c1ccc(Cl)cc1)C(=O)O,C[C@@H](CC(=O)OCc1ccc(Cl)cc1)C(=O)O,C[CH](CC(=O)c1ccc(Cl)cc1)C(=O)O,1,-0.02285788021981716,-0.0007882027421146631,29
COC(=O)[C@H]1COc2ccccc2O1,COC(=O)[C@H]1COc2ccccc2O1,COC(=O)[C@@H]1COc2ccccc2O1,COC(=O)[C[C@H]1COc2ccccc2O1,COC(=O)[CC@H]1COc2ccccc2O1,COC(=O)[C/C1=COc2ccccc2O1,1,-0.21336324512958527,-0.009698329493403435,22
CCN1CCc2ccccc2[C@H]1Cc1ccccc1,CCN1CCc2ccccc2[C@H]1Cc1ccccc1,CCN1CCc2ccccc2[C@@H]1Cc1ccccc1,CCN1CCc2ccccc2[C@H]1CSc1ccccc1,1N1CCc2ccccc2[C@H]1Cc1ccccc1,CN1CCc2ccccc2[C@H]1Cc1ccccc1,1,-0.06420505046844482,-0.002568202093243599,25
COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,CC[C@@H](CC(=O)OC)C(=O)OC,CC[C@H](CC(=O)OC)C(=O)OC,CC[C@@H](C)C(=O)OC,1,-0.16494180262088776,-0.007497354876250029,22
COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C[C@H](C)C(=O)OC,COC(=O)C[C[C@@H](C)C(=O)OC,COC(=O)C[CC@H](C)C(=O)OC,2,-0.7451332211494446,-0.03386969119310379,22
COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,CC[C@@H](NC(C)=O)C(=O)OC,CC(=O)N[C@@H](C)C(=O)OC,CC(=O)N[C@H](C)C(=O)OC,1,-0.6104688048362732,-0.03052343986928463,20
CC[C@H](C)C(=O)O,CC[C@H](C)C(=O)O,CC[C@@H](C)C(=O)O,CC[CC@H](C)C(=O)O,CC[C[C@H](C)C(=O)O,CC[C=C@H](C)C(=O)O,1,-0.05130456015467644,-0.0032065350096672773,16
O=C(O)[C@H](Cc1ccccc1)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)c1ccccc1,O=C(O)[C@@H](Cc1ccccc1)c1ccccc1,O=C(O)[CH](Cc1ccccc1)c1ccccc1,O=C(O)[Cc1ccccc1)c1ccccc1,O=C(O)[C/c1ccccc1)c1ccccc1,1,-0.05463029444217682,-0.0021011652424931526,26
COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@H](C)NC(C)=O,COC(=O)[C@@H](C)NC(C)=O,CC[C@@H](NC(C)=O)C(=O)OC,CC(=O)N[C@@H](C)C(=O)OC,CC(=O)N[C@H](C)C(=O)OC,1,-0.6104688048362732,-0.03052343986928463,20
C[C@@H](CC(=O)O)C(=O)O,C[C@@H](CC(=O)O)C(=O)O,C[C@H](CC(=O)O)C(=O)O,C[CC@@H](CC(=O)O)C(=O)O,C[C(@@H](CC(=O)O)C(=O)O,C[CC@H](CC(=O)O)C(=O)O,1,-0.03345320001244545,-0.0015930095687508583,21
CC[C@H](C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,CC[CC@H](C)c1ccc(OC)cc1,CC[C]@H](C)c1ccc(OC)cc1,CC[C#@H](C)c1ccc(OC)cc1,1,-0.12499019503593445,-0.006578431464731693,19
C[C@@H](Cc1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,C[CC@@H](Cc1ccccc1)c1ccccc1,C[C[C@@H](Cc1ccccc1)c1ccccc1,C[C/C(=O)C[C@H](C)c1ccccc1,1,-0.045437876135110855,-0.0020653579849749804,22
COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,COC(=O)C[C[C@H](C)C(=O)OC,COC(=O)C[C[C@@H](C)C(=O)OC,COC(=O)C[CC@H](C)C(=O)OC,2,-0.7451332211494446,-0.03386969119310379,22
CC(C)C[C@H](C)c1ccccc1,CC(C)C[C@H](C)c1ccccc1,CC(C)C[C@@H](C)c1ccccc1,CC(C)C[CC@H](C)c1ccccc1,CC(C)CC[C@H](C)c1ccccc1,CC(C)C[C]@H](C)c1ccccc1,1,-0.04059227183461189,-0.0020296135917305946,20
COC(=O)C[C@@H](NC(C)=O)c1ccccc1,COC(=O)C[C@@H](NC(C)=O)c1ccccc1,COC(=O)C[C@H](NC(C)=O)c1ccccc1,COP(=O)C[C@@H](NC(C)=O)c1ccccc1,CO=O)C[C@@H](NC(C)=O)c1ccccc1,C=O)C[C@@H](NC(C)=O)c1ccccc1,1,-0.23034806549549103,-0.008531410247087479,27
COc1cccc([C@@H](C)NC(C)=O)c1,COc1cccc([C@H](C)NC(C)=O)c1,COc1cccc([C@@H](C)NC(C)=O)c1,COc1cccc([C@H](C)NC(C)=O)cc1,CC(=O)N[C@@H](C)c1cccc(OC)c1,CC(=O)N[C@H](C)c1cccc(OC)c1,2,-2.221423864364624,-0.09658364951610565,23
CC(C)(C)OC(=O)N1CCC[C@H](Cc2ccc(Cl)c(Cl)c2)C1=O,CC(C)(C)OC(=O)N1CCC[C@H](Cc2ccc(Cl)c(Cl)c2)C1=O,CC(C)(C)OC(=O)N1CCC[C@@H](Cc2ccc(Cl)c(Cl)c2)C1=O,CC(C)(C)OC(=O)N1CCC[C@H](Cc2ccccc(Cl)c(Cl)c2)C1=O,CC(C)(C)OC(=O)N1CCC[C@H](Cc2ccc(Cl)c(Cl)c2]C1=O,CC(C)(C)OC(=O)N1CCC[C@H](Cc2ccc(Cl)c(Cl)c2])C1=O,1,-0.28733766078948975,-0.007008235435932875,41
COC(=O)[C@H](Cc1ccc[nH]1)NC(C)=O,COC(=O)[C@@H](Cc1ccc[nH]1)NC(C)=O,COC(=O)[C@H](Cc1ccc[nH]1)NC(C)=O,COC(=O)[C@@H](Cc1ccc[nH])1)NC(C)=O,COC(=O)[C@@H](Cc1ccc[nH](C)NC(C)=O,COC(=O)[C@@H](Cc1ccc[nH](1)NC(C)=O,2,-3.509413242340088,-0.12101425230503082,29
CC(=O)N[C@H]1CCCC[C@H]1C,CC(=O)N[C@H]1CCCC[C@H]1C,CC(=O)N[C@@H]1CCCC[C@@H]1C,CC(=O)N[C@H]1CCCC[C@@H]1C,CC(=O)N[C[C@H]1CCCC[C@H]1C,CC(=O)N[C@@H]1CCCC[C@H]1C,1,-0.14686977863311768,-0.006385642569512129,23
CCOC(=O)C[C@@H](C)CCc1ccccc1,CCOC(=O)C[C@@H](C)CCc1ccccc1,CCOC(=O)C[C@H](C)CCc1ccccc1,CCOC(=O)C[CC@@H](C)CCc1ccccc1,CCOC(=O)C[CC@H](C)CCc1ccccc1,CCOC(=O)C[CH](C)CCc1ccccc1,1,-0.1459965854883194,-0.006083190906792879,24
c1coc([C@H]2CCc3ccccc3O2)c1,c1coc([C@H]2CCc3ccccc3O2)c1,c1coc([C@@H]2CCc3ccccc3O2)c1,c1coc([C@H]2CCc3ccccc3O2)n1,c1coc([C@H]2CCc3ccccc4c3O2)c1,c1[C@H]1Cc2ccco2)Oc2ccccc2C1,1,-0.18695791065692902,-0.007789913099259138,24
