Reactant,product,er_nbo,er_bond,er_vbur,er_l,er_b1,er_b5,average_er,DFTScore
C=C(CCOC(=O)C(C)(C)C)B1OC(C)(C)C(C)(C)O1,C[C@H](CCOC(=O)C(C)(C)C)B1OC(C)(C)C(C)(C)O1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
CC(=O)N/C(=C\c1ccccc1)C(=O)O,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=c1[nH]c(-c2ccccc2)co1,O=C1N[C@H](c2ccccc2)CO1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccc(C)o1)NC=O,COC(=O)[C@@H](Cc1ccc(C)o1)NC=O,1.926983039287979,nan,1.9681744468663673,1.927892619519679,1.8977449311846541,1.955685966748769,1.9352962007214898,0.873834471269795
CCOC(=O)CC1=CCCCC1C(=O)OC,CCOC(=O)C[C@H]1CCCCC1C(=O)OC,1.971574534406313,badfit,2.1290299721668617,1.9591563238153924,badfit,badfit,2.019920276796189,0.882872765323274
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCCCCC1=CCc2[nH]ccc2C1,CCCCC[C@@H]1CCc2[nH]ccc2C1,not found,not found,not found,not found,not found,not found,not found,not found
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C1C=C(c2ccccc2)CCCN1,O=C1C[C@H](c2ccccc2)CCCN1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(OP(=O)(c1ccccc1)c1ccccc1)c1ccc(C)cc1,Cc1ccc([C@H](C)OP(=O)(c2ccccc2)c2ccccc2)cc1,not found,not found,not found,not found,not found,not found,not found,not found
CC/C(=C\C(C)=O)c1ccccc1,CC[C@H](CC(C)=O)c1ccccc1,not found,not found,not found,not found,not found,not found,not found,not found
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)OC)C(=O)O,COC(=O)C[C@@H](C)C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C=C(/C)NC(C)=O,COC(=O)C[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)N/C(=C/S(C)(=O)=O)c1ccccc1,CC(=O)N[C@@H](CS(C)(=O)=O)c1ccccc1,badfit,badfit,badfit,badfit,0.3562448142454727,badfit,0.3562448142454727,0.5881311065023331
CC(=O)N/C(=C\[N+](=O)[O-])c1cccc(C)c1,CC(=O)N[C@H](C[N+](=O)[O-])c1cccc(C)c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
O=C1C=C(c2ccccc2F)C(=O)O1,O=C1C[C@H](c2ccccc2F)C(=O)O1,not found,not found,not found,not found,not found,not found,not found,not found
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C=C(\C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C=C(\C#N)c1ccccc1,COC(=O)C[C@@H](C#N)c1ccccc1,badfit,badfit,-0.8655845937076805,badfit,badfit,badfit,-0.8655845937076805,0.29617388604971184
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)N/C(=C\c1ccccc1)C(=O)O,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)C1=C(NC(C)=O)CCC1,CCOC(=O)[C@H]1CCC[C@H]1NC(C)=O,5.4063750971841245,5.027336271201278,4.81343479736006,4.81685132075541,badfit,badfit,5.0159993716252185,0.9934126786506774
C=C(CC)c1ccccc1,CC[C@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)c1ccc(Cl)cc1,CC(=O)N[C@H](C)c1ccc(Cl)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1cccc(Br)c1)NC(C)=O,COC(=O)[C@@H](Cc1cccc(Br)c1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
OCC1=Cc2ccccc2OC1,OC[C@@H]1COc2ccccc2C1,2.8136146150817023,2.977415248512024,badfit,badfit,badfit,badfit,2.895514931796863,0.9476242781327966
COC(=O)/C(NC(C)=O)=C(/c1ccccc1)c1cn(C(=O)OC(C)(C)C)c2ncccc12,COC(=O)[C@@H](NC(C)=O)[C@@H](c1ccccc1)c1cn(C(=O)OC(C)(C)C)c2ncccc12,0,0,0,0,0,0,0.0,0.5
COC(=O)/C(=C/c1cccc(F)c1)NC(C)=O,COC(=O)[C@H](Cc1cccc(F)c1)NC(C)=O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C=C(\C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)NC1=CCCc2ccccc21,CC(=O)N[C@@H]1CCCc2ccccc21,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C1C=C(c2ccccc2)C(=O)O1,O=C1C[C@H](c2ccccc2)C(=O)O1,0.891230621565029,badfit,1.3802854735310532,badfit,badfit,1.8898802783242115,1.3871321244734311,0.8001340084485186
C=C(OC(=O)N(c1ccccc1)c1ccccc1)c1ccccc1,C[C@H](OC(=O)N(c1ccccc1)c1ccccc1)c1ccccc1,badfit,badfit,0.9385655851095089,badfit,1.0226630121284699,badfit,0.9806142986189894,0.7272300896078716
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCCC/C(=C/P(=O)(OC)OC)OC(=O)c1ccccc1,COP(=O)(C[C@H](OC(=O)c1ccccc1)C(C)C)OC,not found,not found,not found,not found,not found,not found,not found,not found
CC/C=C(/NC(C)=O)c1ccccc1,CCC[C@H](NC(C)=O)c1ccccc1,0.3701237781234106,nan,badfit,badfit,0.32786985084248776,0.6762014450932572,0.45806502468638516,0.6125550459512173
C=C(CC)c1ccccc1,CC[C@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\[N+](=O)[O-])c1ccccc1,C[C@@H](C[N+](=O)[O-])c1ccccc1,badfit,badfit,badfit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC1=Cc2ccccc2CC1,C[C@H]1CCc2ccccc2C1,badfit,badfit,badfit,4.544225135805526,badfit,badfit,4.544225135805526,0.9894833699079666
C=C(NC(C)=O)c1ccc(F)cc1,CC(=O)N[C@H](C)c1ccc(F)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCc1cccc(C)c1/N=C(\C)COC,CCc1cccc(C)c1N[C@@H](C)COC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)NC1=CCCC(c2ccccc2)=C1,CC(=O)N[C@H]1C=C(c2ccccc2)CCC1,badfit,3.6343857488830054,badfit,3.5618837140459183,badfit,badfit,3.598134731464462,0.9733546727131636
CCOC(=O)/C=C(\C)c1ccc(OC)cc1,CCOC(=O)C[C@H](C)c1ccc(OC)cc1,badfit,badfit,3.411361696438785,badfit,4.50495529814261,badfit,3.9581584972906976,0.9812596563830738
COC(=O)/C(C)=C(\c1cccc(OCc2ccccc2)c1)C1CC1,COC(=O)[C@H](C)[C@@H](c1cccc(OCc2ccccc2)c1)C1CC1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C=C(\C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C(OC(C)=O)=C(\NC(C)=O)c1ccccc1,CCOC(=O)[C@H](OC(C)=O)[C@@H](NC(C)=O)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(B1OC(C)(C)C(C)(C)O1)c1ccccc1,C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,0.48438487469792335,badfit,0.8198105022401059,0.3954149871725452,0.7115078165720359,0.9355117217297124,0.6693259804824645,0.6613522185317955
C/C=C(/C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C=C(\Oc1ccccc1)C(=O)O,CC[C@H](Oc1ccccc1)C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)NC1=CCCc2ccccc21,CC(=O)N[C@@H]1CCCc2ccccc21,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC)OC(=O)c1ccccc1,CC[C@H](C)OC(=O)c1ccccc1,not found,not found,not found,not found,not found,not found,not found,not found
CC(=O)N/C(=C\[N+](=O)[O-])C(C)C,CC(=O)N[C@H](C[N+](=O)[O-])C(C)C,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)c1ccc(O)c(C2=CCCC2(C)C)c1,COC(=O)c1ccc(O)c([C@@H]2CCCC2(C)C)c1,0,0,0,0,0,0,0.0,0.5
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)OC/C=C(\C)c1ccccc1,CC(=O)OCC[C@@H](C)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\c1ccccc1)CO,CC(CO)[C@@H](C)c1ccccc1,3.178053830347946,3.178053830347949,3.178053830207169,badfit,badfit,badfit,3.178053830301021,0.9599999999981981
COc1ccc(/C=C(\C)C(C)=O)cc1,COc1ccc(C[C@H](C)C(C)=O)cc1,badfit,badfit,badfit,4.047848429323734,4.879552657359961,badfit,4.463700543341847,0.9886115358507019
CC(C)(C)OC(=O)C(=O)N/C(=C\C1CC1)C(=O)OCc1ccccc1,CC(C)(C)OC(=O)C(=O)N[C@@H](CC1CC1)C(=O)OCc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\[N+](=O)[O-])c1ccccc1,C[C@@H](C[N+](=O)[O-])c1ccccc1,badfit,badfit,badfit,nofit,nofit,nofit,nofit,nofit
CC(C)/C(=C\C(=O)c1ccccc1)c1ccccc1,CC(C)[C@@H](CC(=O)c1ccccc1)c1ccccc1,not found,not found,not found,not found,not found,not found,not found,not found
CC(=O)NC1=Cc2ccccc2CC1,CC(=O)N[C@@H]1CCc2ccccc2C1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)C(=O)OC(C)C,CC(C)OC(=O)[C@H](C)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,7.000185192479421,7.000185192479421,0.9990891173561374
C=C(C(=O)O)c1ccc2cc(OC)ccc2c1,COc1ccc2cc([C@@H](C)C(=O)O)ccc2c1,3.2459683564264785,3.245968356426477,3.2459683556718595,3.245968356538923,3.2459683584274295,3.24596835467802,3.2459683563615314,0.9625279706814782
C=C(CC(=O)O)C(=O)OC,COC(=O)[C@H](C)CC(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCC(/C=C(\NC(C)=O)C(=O)OC)CC,CCC(CC)C[C@@H](NC(C)=O)C(=O)OC,not found,not found,not found,not found,not found,not found,not found,not found
COC(=O)/C(=C/c1ccc(Cl)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc(Cl)cc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C=C(\Oc1ccccc1)C(=O)O,CC[C@@H](Oc1ccccc1)C(=O)O,badfit,4.633882725717257,badfit,badfit,badfit,1.7883666542160732,3.211124689966665,0.9612507794140268
C=C(CC)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(C)C)c1ccccc1,CC(C)C[C@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C1=C(N2CCCC2)c2ccccc2CC1,c1ccc2c(c1)CCC[C@@H]2N1CCCC1,not found,not found,not found,not found,not found,not found,not found,not found
CCOC(=O)/C(F)=C\c1ccccc1,CCOC(=O)[C@@H](F)Cc1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C=C(/C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(OC(=O)c1ccccc1)P(=O)(OC)OC,COP(=O)(OC)[C@H](C)OC(=O)c1ccccc1,2.762874410334746,2.372929445874405,5.048937085038958,1.6038278267046735,1.6566453726823696,6.993187100605198,3.4064002068733914,0.967903959920314
COc1ccc(/C(C)=C/c2ccccc2)cc1,COc1ccc([C@H](C)Cc2ccccc2)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC1(C)OB(/C(=C/c2ccccc2)N2CCOC2=O)OC1(C)C,CC1(C)OB([C@@H](Cc2ccccc2)N2CCOC2=O)OC1(C)C,badfit,2.260777783489047,1.6193312971390412,badfit,badfit,badfit,1.9400545403140441,0.8743581351869989
O=C(O)/C=C(\c1ccccc1)c1ccc(Br)cc1,O=C(O)C[C@H](c1ccccc1)c1ccc(Br)cc1,not found,not found,not found,not found,not found,not found,not found,not found
CCOC(=O)/C=C1\Nc2ccccc2OC1=O,CCOC(=O)C[C@H]1Nc2ccccc2OC1=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(c1ccc(Cl)cc1)N(C)Cc1ccccc1,C[C@H](c1ccc(Cl)cc1)N(C)Cc1ccccc1,not found,not found,not found,not found,not found,not found,not found,not found
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CON(C)C(=O)/C=C(\C)c1ccccc1,CON(C)C(=O)C[C@@H](C)c1ccccc1,badfit,badfit,1.992918273591501,badfit,badfit,badfit,1.992918273591501,0.8800515347402187
C=C(NC(C)=O)c1ccc(C(F)(F)F)cc1,CC(=O)N[C@H](C)c1ccc(C(F)(F)F)cc1,badfit,7.156464999928616,badfit,badfit,badfit,badfit,7.156464999928616,0.9992208013220704
C/C=C(\C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(C)(C)OC(=O)N1CCCC/C(=C\c2ccccc2)C1=O,CC(C)(C)OC(=O)N1CCCC[C@@H](Cc2ccccc2)C1=O,3.6912356991126103,badfit,3.8586249806727153,badfit,4.154644961876279,badfit,3.901501880553868,0.9801888797860278
C=C(NC=O)C(=O)OC,COC(=O)[C@@H](C)NC=O,5.293304824724491,5.293304824724491,5.293304824724491,5.293304824724491,5.293304824724491,5.293304824724491,5.293304824724491,0.995
C=C(CC(=O)OC)C(=O)O,COC(=O)C[C@@H](C)C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccccc1Cl)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1Cl)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COc1ccc(/C=C(\C)CO)cc1,COc1ccc(C[C@@H](C)CO)cc1,3.316780039849572,3.316780039849572,3.316780039292695,3.316780037999744,3.3167800399331617,3.3167800399536236,3.316780039479728,0.9649999999875085
CC(=O)N/C(=C\Cc1ccccc1)c1ccccc1,CC(=O)N[C@H](CCc1ccccc1)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC/C=C(\NC(C)=O)c1ccccc1,CCC[C@H](NC(C)=O)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccc(OC)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(OC)cc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COc1ccc2c(c1)CCC=C2C,COc1ccc2c(c1)CCC[C@H]2C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(C)(C)[NH3+].CC(C)/C=C(\C#N)CC(=O)[O-],CC(C)(C)[NH3+].CC(C)C[C@H](C#N)CC(=O)[O-],badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C(/C=C1/CCc2ccccc2N1)c1ccccc1,O=C(C[C@H]1CCc2ccccc2N1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
[H]/C=C(/NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(/C)c1ccccc1,CCOC(=O)C[C@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(/C=C\C)/C=C(\C)c1ccccc1,C=C(/C=C\C)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(C)=C/c1ccccc1,COC(=O)[C@H](C)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(C)=C/c1ccccc1,COC(=O)[C@@H](C)Cc1ccccc1,3.7038966531362973,3.639603643635727,3.501325084698479,3.388378769376094,2.724425237974538,2.858713461291692,3.3027238083521375,0.9645221352545663
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)OC)C(=O)O,COC(=O)C[C@H](C)C(=O)O,0.9195435102639671,0.9069878691367954,0.9619233576418207,badfit,badfit,badfit,0.9294849123475277,0.7169707736917194
CC(=O)N/C(C#N)=C\c1ccccc1,CC(=O)N[C@H](C#N)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)C1CC1)C(=O)O,C[C@@H](CC(=O)C1CC1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)O)C(=O)O,C[C@H](CC(=O)O)C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)C(=O)O,C[C@@H](Cc1ccccc1)C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
Brc1ccc(C2=CCc3ccccc3O2)cc1,Brc1ccc([C@H]2CCc3ccccc3O2)cc1,0.38461674841510796,badfit,badfit,badfit,badfit,badfit,0.38461674841510796,0.5949861221680482
CCC/C(=C\C(=O)OCC)NC(C)=O,CCC[C@H](CC(=O)OCC)NC(C)=O,4.216244398403802,3.2814856998464315,3.6614576419282834,3.8753778465246214,2.8854044084694195,2.776691287440105,3.4494435471021103,0.9692145416948509
COC(=O)/C=C(\C)NC(C)=O,COC(=O)C[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(F)=C(\NC(C)=O)c1ccc2ccccc2c1,COC(=O)[C@H](F)[C@@H](NC(C)=O)c1ccc2ccccc2c1,not found,not found,not found,not found,not found,not found,not found,not found
C=C(c1ccccc1)c1ccccc1C(=O)O,C[C@H](c1ccccc1)c1ccccc1C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)N/C(C)=C\C(=O)c1ccccc1,CC(=O)N[C@@H](C)CC(=O)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CON(C)C(=O)/C=C(\C)c1ccccc1,CON(C)C(=O)C[C@@H](C)c1ccccc1,badfit,badfit,1.992918273591501,badfit,badfit,badfit,1.992918273591501,0.8800515347402187
CCOC(=O)/C(F)=C(\NC(C)=O)c1ccccc1,CCOC(=O)[C@H](F)[C@@H](NC(C)=O)c1ccccc1,badfit,nan,badfit,badfit,badfit,badfit,nofit,nofit
CC(C)/C=C(/Cl)B1OC(C)(C)C(C)(C)O1,CC(C)C[C@@H](Cl)B1OC(C)(C)C(C)(C)O1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC)c1ccccc1,CC[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC/C(C)=C/[C@@H](O)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,C[C@@H](CO)C[C@@H](O)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,not found,not found,not found,not found,not found,not found,not found,not found
C=C(NC(C)=O)c1ccc(Cl)cc1,CC(=O)N[C@@H](C)c1ccc(Cl)cc1,badfit,badfit,badfit,badfit,2.3892553203586715,badfit,2.3892553203586715,0.9160042898768912
Cc1cc2ccccc2[nH]1,C[C@@H]1Cc2ccccc2N1,badfit,3.6107105991071475,3.555937979415866,badfit,3.73943398988597,3.7471957936149813,3.663319590505991,0.9749940992157512
C/C=C(/C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)NC1=CCCC(/C=C/c2ccccc2)=C1,CC(=O)N[C@H]1C=C(/C=C/c2ccccc2)CCC1,not found,not found,not found,not found,not found,not found,not found,not found
COc1ccc2c(c1)CCC(NC(C)=O)=C2,COc1ccc2c(c1)CC[C@@H](NC(C)=O)C2,not found,not found,not found,not found,not found,not found,not found,not found
CC1=C(C)c2ccccc2C1,C[C@H]1Cc2ccccc2[C@H]1C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)O)C(=O)OC,COC(=O)[C@H](C)CC(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
[H]/C=C(/NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)C(=C)c1ccccc1,C=C(c1ccccc1)[C@H](C)NC(C)=O,badfit,3.7733701672764752,badfit,badfit,badfit,badfit,3.7733701672764752,0.9775414688857055
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C(O)/C(=C/c1ccccc1)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccccc1)CNC(C)=O,COC(=O)[C@@H](CNC(C)=O)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC)c1ccccc1,CC[C@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\CO)c1ccccc1,C[C@@H](CCO)c1ccccc1,0,0,0,0,0,0,0.0,0.5
C=C(C(=O)O)c1ccccc1,C[C@H](C(=O)O)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C1CCC/C1=C\c1ccccc1,O=C1CCC[C@H]1Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C=C(\C)NC(C)=O,COC(=O)C[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
Cc1ccccc1C(=O)/C=C1/CCc2ccccc2N1,Cc1ccccc1C(=O)C[C@H]1CCc2ccccc2N1,not found,not found,not found,not found,not found,not found,not found,not found
C=C1CCCCc2ccccc21,C[C@H]1CCCCc2ccccc21,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
