Reactant,product,a_nbo,b_nbo,r2_nbo,a_bond,b_bond,r2_bond,a_vbur,b_vbur,r2_vbur,a_l,b_l,r2_l,a_b1,b_b1,r2_b1,a_b5,b_b5,r2_b5
C=C(NC(C)=O)C(=C)c1ccc(F)cc1,C=C(c1ccc(F)cc1)[C@@H](C)NC(C)=O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)C(=C)c1ccc(OC)cc1,C=C(c1ccc(OC)cc1)[C@@H](C)NC(C)=O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)C(=C)c1ccc2ccccc2c1,C=C(c1ccc2ccccc2c1)[C@@H](C)NC(C)=O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)C(=C)c1cccc(C)c1,C=C(c1cccc(C)c1)[C@H](C)NC(C)=O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)C(=C)c1ccccc1,C=C(c1ccccc1)[C@H](C)NC(C)=O,-20.04866723333595,33.30093375900901,0.023262135297606568,-125.2121294437044,-55.12641552304208,0.8912892006163547,-51.43418837196166,37.0344816252661,0.44802946952984435,-0.42620357275516946,6.042242363779547,0.4197754868310887,-1.0971221861027602,6.23983919818585,0.49165584122062744,-0.9492113155705472,10.813834129207532,0.48701979199803214
C=C(NC(C)=O)C(=C)c1ccccc1Cl,C=C(c1ccccc1Cl)[C@H](C)NC(C)=O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)C(=O)O,CC(=O)N[C@@H](C)C(=O)O,-0.47012876766007783,3.206960917844495,0.00433788318881434,15.941068256041753,9.894352679371652,0.013875211859397774,1.8477372966395793,1.1497649672308863,0.0062705140119557745,0.33981773843543095,-0.39410946878910735,0.05975431414702059,0.4740473323316798,0.647816586309016,0.06150563245045937,0.14968039755735965,1.1375569705116728,0.025198221361228956
C=C(NC(C)=O)C(=O)O,CC(=O)N[C@H](C)C(=O)O,0.12635202781952604,2.3436565322478042,0.0005577599586363835,20.066900313464924,12.283717586068226,0.2615495819665299,2.7925726868121377,0.579772241079209,0.045354777468442964,0.1893293759493882,0.8650602961309288,0.04703816288811269,0.4580223378155356,1.1977142811386727,0.09888139180309163,0.7296837283265246,-3.979643031567184,0.2183210213174609
C=C(NC(C)=O)C(=O)O,CC[C@@H](NC(C)=O)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)C(=O)OC,CC[C@@H](NC(C)=O)C(=O)OC,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)C(=O)OC,COC(=O)C(C)NC(C)=O,5.94264285753824,-7.839182881953938,0.14981887966909957,2.669397936557507,3.3481017138786,0.0017109598613582744,-5.381317256761647,6.475269910645556,0.02385238650877064,0.5954212080431756,-3.778113214302452,0.14509163841719508,-0.7835871023287566,5.058552970346341,0.26803784736753034,0.6520123376373017,-4.296680984639851,0.3131651845597695
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,1.7863588391103953,0.28124085376838037,0.05639762786716607,-7.676244372919029,-0.7198951820044237,0.013465438187284517,-4.104502286312401,6.406388021553438,0.031046220827759763,0.079931332853884,2.5429095281341256,0.0036082442303558837,0.05209343872505841,3.1190695925191343,0.0003756048066091422,0.20688227064336204,1.348455019064577,0.021048805691249894
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,1.097249360048321,0.5976376804443413,0.02482986972493184,-15.675165796230319,-5.263420136506547,0.10387666046889799,-6.053590409370961,7.116552247041948,0.06520272005099881,0.1652469615713119,0.9531846797419639,0.021000234723832056,-0.044043211275715644,2.5652736432276626,0.0003924448503330735,-0.025281800972724054,2.6420840663245664,0.0002673480572554787
C=C(NC(C)=O)C(=O)c1ccccc1,CC(=O)N[C@@H](C)C(=O)c1ccccc1,-100.21739101417302,154.03325355670813,0.5883174176747248,-136.2168154919796,-61.2072909380068,0.7068612286912052,-32.7039232725703,24.03659331491214,0.1814334185196017,-0.6357262936533656,6.7053413829814605,0.380105411775281,-1.1406417495264543,5.889632095046674,0.6582339421051064,-2.178099067244315,20.49519151101262,0.751171587760713
C=C(NC(C)=O)C(=O)c1ccccc1,CC(=O)N[C@H](C)C(=O)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)C(C)(C)C,CC(=O)NC(C)C(C)(C)C,0.14510335305943386,0.9792890920565613,0.003921106336267521,42.87127533954449,22.77014297056304,0.21103941916356217,-5.311613754267338,5.728014357572993,0.2620772364710775,-0.17649193611428002,3.017185682241454,0.15220369210564755,0.42520125592357916,-0.18997606882824347,0.19791299144009733,-0.2695897880642815,3.956372147686807,0.252805384912993
C=C(NC(C)=O)C(C)(C)C,CC(=O)N[C@@H](C)C(C)(C)C,-1.220674438870659,3.549781823664091,0.15938807058415083,55.64168791019753,29.064526573681352,0.5231349249241599,-3.6287691905712025,3.9923122220412957,0.08235652539184146,-0.08325711490200986,1.840948390803285,0.0049166112012904994,1.2950419913400775,-2.362745233048707,0.3379700359423238,-0.4015265712311963,4.869310145397777,0.2940616641182353
C=C(NC(C)=O)C(C)(C)C,CC(=O)N[C@H](C)C(C)(C)C,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)C1=CCCc2ccccc21,CC(=O)N[C@H](C)C1=CCCc2ccccc21,52.45295685542955,-93.28843555944665,0.41682492672812377,10106.731095921861,5217.336346769382,0.41682492672812377,7.643610458459406,-2.542010992260811,0.41682492672812377,0.5633206237820259,-1.7291305004316437,0.41682492672812377,2.56179023437663,-3.646873230249065,0.41682492672812377,6.161566497525088,-52.89582275911086,0.41682492672812377
C=C(NC(C)=O)C1=CCOc2ccccc21,CC(=O)N[C@@H](C)C1=CCOc2ccccc21,75.88787942842428,-133.98957687702645,0.8896670714274587,-462.11757037674306,-233.13177974788996,0.9999019485762152,-13.042644274813254,13.287029060189628,0.16316273365601464,-1.1539147766105857,13.630306140921487,0.2692886915274918,-5.900919693253531,19.61333684634136,0.5343947203777497,-13.609501821271605,127.50940253415939,0.3543506545385644
C=C(NC(C)=O)C1=CCc2ccccc21,CC(=O)N[C@H](C)C1=CCc2ccccc21,54.429069414196526,-96.45926843497112,0.9818128947250316,-310.44480216338917,-156.66371837060666,0.8421892819257382,3.470990058463189,0.18752706923586526,0.022595664324484344,0.02146557569110519,2.570188103982344,0.0001731203308757978,-1.8215765280100848,7.671966758544469,0.08695588672265953,-1.5103951470132404,16.503909456324973,0.007844315238019317
C=C(NC(C)=O)P(=O)(OCC)OCC,CCOP(=O)(OCC)[C@H](C)NC(C)=O,0.0,12.206067645522225,1.0,0.0,12.206067645522225,1.0,-0.0,12.206067645522225,1.0,0.0,12.206067645522225,1.0,0.0,12.206067645522225,1.0,0.0,12.206067645522225,1.0
C=C(NC(C)=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(=O)N[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-843.040695004638,1296.5631868921832,0.9298876861109064,-1421.4240693872503,-656.3356739455114,0.8699924505120988,-13.848690585840211,19.224224045620076,0.0015329845050323643,0.5611599141215807,5.509774698449164,0.020107345881688388,3.767804790388815,-2.862266207623545,0.0029881553702051367,-173.06595052606255,1213.7503657157135,0.6909597041603135
C=C(NC(C)=O)c1cc(Cl)ccc1C1CCN(C(=O)OC(C)(C)C)CC1,CC(=O)N[C@@H](C)c1cc(Cl)ccc1C1CCN(C(=O)OC(C)(C)C)CC1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1ccc(-c2ccccc2)cc1,CC(=O)N[C@H](C)c1ccc(-c2ccccc2)cc1,-0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0
C=C(NC(C)=O)c1ccc(Br)cc1,CC(=O)N[C@@H](C)c1ccc(Br)cc1,-12.38720503373662,34.1973973124515,0.9999606765465435,0.0,12.206067645522225,1.0,1.7360518501393165,7.991076166481299,0.0002304349422075358,1.2146896851870514,-1.678953925293733,0.30023244971274954,4.610899293117613,-6.571091706971382,0.9853081325961713,-4.316732711702353,50.803616744839125,0.9272373467098143
C=C(NC(C)=O)c1ccc(Br)cc1,CC(=O)N[C@H](C)c1ccc(Br)cc1,-1.2488396158047474,6.866827624447938,0.5542904532499741,-2.8574978298111473,3.6969462421533086,0.011200497497830586,-3.1559387213841994,7.155397961123604,0.11630761198764594,0.26275570520986796,2.5366799107464932,0.12553472678901356,1.7243744530266663,0.0527607040223419,0.5573498900360527,-0.3201786880385858,8.067865005720021,0.053133535568658186
C=C(NC(C)=O)c1ccc(Br)cc1F,CC(=O)N[C@H](C)c1ccc(Br)cc1F,30.10055572453776,-42.03538500652747,0.16504124517709173,-53.50663704591419,-21.136748798626247,0.23943705341185595,-14.524997517792348,13.180591066949763,0.15348264991460214,-0.5495801335550715,8.42370490529869,0.5932083745787087,0.9128335389607903,1.3140296712296067,0.18975987339254563,0.1673353731500514,2.7606459633510045,0.013501651528687098
C=C(NC(C)=O)c1ccc(C(F)(F)F)cc1,CC(=O)N[C@@H](C)c1ccc(C(F)(F)F)cc1,-1.8339265964798828,9.225414036155788,0.01619646380560391,-11.92621057612227,0.6933922792988598,0.004999687113916629,-39.792960457900286,38.780672211379056,0.3659376025256008,2.2887199901272606,-15.342624725597744,0.7361933802625511,1.5019824648099338,0.7133619134926148,0.11022239495992292,-1.9088847747596336,22.91455994974252,0.22486739156130808
C=C(NC(C)=O)c1ccc(C(F)(F)F)cc1,CC(=O)N[C@H](C)c1ccc(C(F)(F)F)cc1,0.6271776654686573,2.7446028632433555,0.008132588981112021,-69.06426792871436,-28.43822272651183,0.5227951341216133,-7.48662472240324,9.354576553131334,0.051122046834275126,-0.07247513822840104,4.369706030791171,0.001748468729657504,0.5249934511735918,2.4120416746621527,0.009831622206546764,0.5343662677937305,-1.1695687605942315,0.08616455214613561
C=C(NC(C)=O)c1ccc(C)cc1,CC(=O)NC(C)c1ccc(C)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1ccc(C)cc1,CC(=O)N[C@@H](C)c1ccc(C)cc1,0.0,3.7747505920115985,0.0,0.0,3.7747505920115985,0.0,0.0,3.7747505920115985,0.0,0.0,3.7747505920115985,0.0,0.0,3.7747505920115985,0.0,0.0,3.7747505920115985,0.0
C=C(NC(C)=O)c1ccc(C)cc1,CC(=O)N[C@H](C)c1ccc(C)cc1,-1.0757354163539752,6.310613916784398,0.37797596470075334,80.7086888288062,44.429273330876356,0.2885914114120637,-0.5176496883574366,5.159047139526252,0.0047141215640506,0.40090686112862045,1.2903957961481072,0.5264342660628876,1.9102516276199557,-0.6669546586757109,0.9915926503266406,-0.20298569647090667,6.842561889158066,0.03910798276012617
C=C(NC(C)=O)c1ccc(C2CCCCC2)cc1,CC(=O)N[C@H](C)c1ccc(C2CCCCC2)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1ccc(Cl)c(Cl)c1,CC(=O)N[C@@H](C)c1ccc(Cl)c(Cl)c1,-53.541977195850144,85.95776871166979,0.18240483110314698,-137.46034353176378,-60.11826901514272,0.3722681716522944,-4.689827542944263,7.314740175516645,0.023662456052209957,0.3949149292977847,1.1352842990172842,0.5432276050897804,0.3052044888546058,3.2552368537089538,0.006126303549480183,-0.2666443240654745,6.2617645682588385,0.050018586480587546
C=C(NC(C)=O)c1ccc(Cl)cc1,CC(=O)N[C@@H](C)c1ccc(Cl)cc1,-4.531610539529277,13.580287242191854,0.23367227811100755,119.83772851547073,65.09513111646487,0.3001521329417479,-17.311572294352914,17.83445825377771,0.041470313039126294,1.6898443548363142,-10.302913610020852,0.37365326868782855,4.8007316206154735,-8.589205646864055,0.7230543550326016,-1.3882720757077158,18.03104253242574,0.2915763842538952
C=C(NC(C)=O)c1ccc(Cl)cc1,CC(=O)N[C@H](C)c1ccc(Cl)cc1,-1.6550613169340755,6.812714171360879,0.18907272641525297,9.179751680426484,8.571505173841269,0.014779970012689048,-1.5554736685675967,5.074602374430957,0.0103150602243256,0.3076755918383068,1.2027209715270542,0.11012621230838093,0.6049977518692505,2.1173844333788194,0.12545502817089016,0.14242409302823977,2.498500065623009,0.02688179333985008
C=C(NC(C)=O)c1ccc(F)cc1,CC(=O)N[C@@H](C)c1ccc(F)cc1,32.86861794450203,-46.258650211565225,0.8049650054856138,-153.59394049394436,-65.2926458273852,0.8651618399942338,21.21714624279136,-10.415495744371466,0.01745049115491415,2.0957537382620264,-15.456308863595574,0.7073023262338578,5.065410157598267,-10.829643268843817,0.8739257272306518,2.4295688890158647,-13.50766421399522,0.12371366544761375
C=C(NC(C)=O)c1ccc(F)cc1,CC(=O)N[C@H](C)c1ccc(F)cc1,16.3177628388829,-22.839783395733956,0.034627436843901016,85.5776602989081,39.56629525455664,0.3218947183145897,11.633233809433046,-7.200072729025873,0.12970772655221707,0.5362234723093495,-2.76255249446085,0.207364295856449,-1.8357076737170532,6.194692133980739,0.4273532334961192,0.6781966806981611,-4.382130341226535,0.1516884761631756
C=C(NC(C)=O)c1ccc(F)cn1,CC(=O)N[C@@H](C)c1ccc(F)cn1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1ccc(OC)cc1,COc1ccc([C@@H](C)NC(C)=O)cc1,0.20576654864371363,3.248286771994708,0.0006550602951121975,-23.048737568677193,-7.463521381743833,0.0809730808153698,-7.906327757536859,9.535214830857361,0.04993917718388752,1.2866694518013397,-7.2449626495601205,0.33330801274369426,1.1054105546711275,0.5389984019159586,0.07380776387711552,0.7763888316173022,-3.8001867227933386,0.11936165291918843
C=C(NC(C)=O)c1ccc(OC)cc1,COc1ccc([C@H](C)NC(C)=O)cc1,-2.575701965095769,8.437399828513449,0.12123110554377681,41.267907679806314,24.21038247009541,0.12522963713819912,-6.831714324078816,9.094726542885908,0.026384066908656578,1.2127848084905888,-6.714685210295102,0.4266112519893095,1.619621085851054,-1.2725690257876603,0.29504431933466446,-0.7996592841192178,11.148032307643192,0.3011073043673862
C=C(NC(C)=O)c1ccc([N+](=O)[O-])cc1,CC(=O)N[C@H](C)c1ccc([N+](=O)[O-])cc1,218.6696555644413,-323.9433364748653,0.06832672670298234,236.3359628002077,120.60000277445495,0.02521390898017528,-322.1035933335077,218.2296856444609,0.8659046485438765,3.4908863857286883,-19.05557213506449,0.7809039371075589,62.54180135081303,-207.78984943303843,0.8543848429672847,-17.949088465066122,134.80265488082622,0.007189321349955424
C=C(NC(C)=O)c1ccc2ccccc2c1,CC(=O)N[C@@H](C)c1ccc2ccccc2c1,-14.285014480283273,30.40373580757885,0.19433116407863438,96.35251648178121,52.70933175738692,0.2469261095824139,16.06372715105461,-6.495037885886384,0.08469386642983312,1.069238397325138,-3.6895925411932025,0.21511360231756615,2.826983310801814,-2.6877345094476093,0.4506056124716452,-0.7116035911567996,11.689813419112623,0.11682028098639607
C=C(NC(C)=O)c1ccc2ccccc2c1,CC(=O)N[C@H](C)c1ccc2ccccc2c1,-9.006406043942917,18.522833267052746,0.2558928573006639,40.01115977476348,23.016017234767542,0.20672001236416215,-12.424796182982352,12.336168572545496,0.17988596728041029,0.12306345600010707,1.946034063182682,0.007673703123082687,0.4721254753628694,1.7461956633835498,0.013681106727058134,-1.1991838620424604,12.846351619889834,0.2814148498618968
C=C(NC(C)=O)c1cccc(C)c1,CC(=O)N[C@@H](C)c1cccc(C)c1,-9.261314613705187,25.974632548852384,1.0,nofit,nofit,nofit,-81.62552692476478,71.13063576616408,1.0,2.385208730487865,-15.238537900840901,1.0,6.482134268703107,-11.506764300931108,1.0,-2.341790408057017,28.547233736792144,1.0
C=C(NC(C)=O)c1cccc(C)c1,CC(=O)N[C@H](C)c1cccc(C)c1,-2.753297598912893,9.217942320483399,0.5476276233680685,14.352680932976048,11.544530113023416,0.32205838337406945,-10.639407785302902,12.161790309553881,0.7810019494813049,0.03298037590363448,4.397355113771068,0.022596752928098818,-0.08090132735011912,4.884200497853096,0.0008645891358168845,-0.2553977658246692,6.861089375414112,0.5660130708257576
C=C(NC(C)=O)c1cccc(Cl)c1,CC(=O)N[C@@H](C)c1cccc(Cl)c1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1cccc(OC(C)=O)c1,CC(=O)N[C@@H](C)c1cccc(OC(C)=O)c1,-155.08492697656823,240.8515429325282,0.49733345854626,-303.475974904056,-138.06428940376213,0.6016225559674981,-71.19376728586575,50.128032759165414,0.6121499311082754,0.8797934557660387,-3.216174360127134,0.7177654704244266,14.098406308640868,-44.99103313331951,0.628272040125704,-50.37839203334796,354.6457956351576,0.8195710844272174
C=C(NC(C)=O)c1cccc(OC)c1,COc1cccc([C@@H](C)NC(C)=O)c1,11.595814285785073,-14.776412304120456,0.27598696389642696,-49.72699794329546,-19.44887598992338,0.21334998435393893,-15.737475299837191,15.045899019313747,0.10300689230732929,1.702674336308636,-10.382944801177425,0.3652079698879618,0.8367332568315542,1.2581251616718596,0.02231387277567931,1.6267446358015363,-11.44353302025014,0.43386655260294005
C=C(NC(C)=O)c1cccc(OC)c1,COc1cccc([C@H](C)NC(C)=O)c1,10.421443455246829,-15.06066606636184,0.9991929710429736,-27.68747227575528,-11.68905170540403,0.9991929710429736,11.42900590479817,-8.510917210726902,0.9991929710429736,0.7957595598935364,-5.359157774834615,0.9991929710429736,0.6263147675499054,-0.7977844163039494,0.9991929710429736,1.6339748585261848,-12.937457846359068,0.9991929710429736
C=C(NC(C)=O)c1cccc2ccccc12,CC(=O)N[C@@H](C)c1cccc2ccccc12,0.19170440909008818,1.26559526002716,1.0,nofit,nofit,nofit,1.6896060719741397,0.3308894137497276,1.0,-0.04937258362414716,2.118686512979064,1.0,-0.1341768173802693,2.041440734958519,1.0,0.048473846868895255,1.21234374972552,1.0
C=C(NC(C)=O)c1cccc2ccccc12,CC(=O)N[C@H](C)c1cccc2ccccc12,-10.721072800635337,20.07231435513614,0.8677724671687403,109.92069766946624,55.224988767750176,0.7954397951938844,-20.340070915455982,16.70975117951866,0.853197755474489,0.7206788846673968,-3.2516739256720277,0.23059246476256645,1.4389553251542102,-2.1049631702624025,0.5667764526696988,-0.4264353382068999,6.388861736067085,0.31615668292812793
C=C(NC(C)=O)c1ccccc1,C=C(NC(C)=O)c1ccccc1.CC(=O)N[C@@H](C)c1ccccc1,-1.984483537667748,8.179543110748225,0.2034143953230274,66.12739649586459,37.67179811218431,0.11486697293317938,-1.6065667785792068,6.03887457247174,0.01572498492305574,0.0665449953372207,4.076596320582833,0.013857668856256389,0.3563277357417745,3.282441749257746,0.34216174218905226,-0.43404839295504655,8.728266746195057,0.1657786986346923
C=C(NC(C)=O)c1ccccc1,CC(=O)NC(C)c1ccccc1,-0.12182607325419298,4.230044316635919,0.0003106466058176993,15.96656296516967,12.110402529854763,0.07670176986815513,0.4701540436471564,3.6581453679958695,0.0002880674408076711,0.23253988531119235,1.675659452394728,0.07744162255619147,0.475262299979064,2.6237908750949934,0.06617223556882823,-0.06160533809467402,4.6396738936259005,0.002976640149126908
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,-0.5677890903011227,4.505273201416384,0.005041332914993979,-19.753143186127502,-6.149925196470302,0.018089706349581958,-1.9423614748306297,4.9732092753240975,0.0031651555420820765,0.5827387513360317,-1.6672376619193479,0.1688302739325801,0.6049306853814261,1.5829366164605834,0.0404790666639423,-0.11255066871673503,4.439853579603972,0.003549869247540194
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,0.3633778171232278,2.6311314303203197,0.003459762938451516,-9.81892750567319,-1.5258116354988425,0.023346243826801505,-1.0186761417381374,4.012333222729785,0.0018693638066793472,0.23367665075122365,1.1751980862376246,0.05796950443539539,0.26224813051033136,2.499502594007753,0.01850562267361211,0.3098490903273402,0.3088683692547347,0.07142164506740467
C=C(NC(C)=O)c1ccccc1C,CC(=O)N[C@@H](C)c1ccccc1C,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1ccccc1C(F)(F)F,CC(=O)N[C@@H](C)c1ccccc1C(F)(F)F,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1ccccc1Cl,CC(=O)N[C@@H](C)c1ccccc1Cl,-4.580148138781612,10.285290424058426,1.0,21.712162229752277,13.124223659059142,1.0,-19.595352518201885,17.621767671194867,1.0,-9.555260846033494,113.42050794007277,1.0,-2.5127627167207773,12.668243985343713,1.0,-0.7746007394504253,8.881313133548932,1.0
C=C(NC(C)=O)c1ccccc1F,CC(=O)N[C@@H](C)c1ccccc1F,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1ccccc1N1CCCCC1,CC(=O)N[C@@H](C)c1ccccc1N1CCCCC1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1ccccc1OC,COc1ccccc1[C@@H](C)NC(C)=O,-112.46357219971736,173.79407626422153,0.4889824728064973,-18.63721921928224,-7.1253986834844625,0.021188046680464923,-7.748965579176678,6.481957467792176,0.06661086008906669,-0.05259619865782596,2.173289889290536,0.0037053352931046835,-0.7505272136158524,4.113462874770544,0.6974124168464736,0.36788754285217673,-0.9000821478138161,0.7166790600758439
C=C(NC(C)=O)c1ccccc1OC,COc1ccccc1[C@H](C)NC(C)=O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1ccco1,CC(=O)N[C@@H](C)c1ccco1,0.0,2.5727849800060447,0.0,nofit,nofit,nofit,0.0,2.5727849800060447,0.0,0.0,2.5727849800060447,0.0,0.0,2.5727849800060447,0.0,0.0,2.5727849800060447,0.0
C=C(NC(C)=O)c1cccs1,C=C(NC(C)=O)c1cccs1,0.0,1.294234081294611,0.0,0.0,1.294234081294611,0.0,0.0,1.294234081294611,0.0,0.0,1.294234081294611,0.0,0.0,1.294234081294611,0.0,0.0,1.294234081294611,0.0
C=C(NC(C)=O)c1cccs1,CC(=O)NC(C)c1cccs1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1cccs1,CC(=O)N[C@@H](C)c1cccs1,-9.59359855941631,26.468630783842475,0.9820320211305115,0.0,12.206067645522225,1.0,-84.55414486818002,73.24477277706708,0.9820320211305115,2.470786923365391,-16.223214720472484,0.9820320211305115,6.714704831444442,-12.357549928221225,0.9820320211305115,-2.4258108078894702,29.133533562768545,0.9820320211305115
C=C(NC(C)=O)c1ncc(Br)cc1F,CC(=O)N[C@H](C)c1ncc(Br)cc1F,0.0,5.293304824724491,1.0,-0.0,5.293304824724491,1.0,-0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,-0.0,5.293304824724491,1.0
C=C(NC(C)=O)c1ncc(F)cn1,CC(=O)N[C@@H](C)c1ncc(F)cn1,0.0,5.293304824724491,1.0,-0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,-0.0,5.293304824724491,1.0,-0.0,5.293304824724491,1.0
C=C(NC=O)C(=O)O,C[C@@H](NC=O)C(=O)O,1.051355866592572,-0.1875414045784285,0.16934967501004006,171.2679331813268,87.50126431813531,0.5777775105665439,9.50190834048428,-5.872145260046361,0.2536025146121609,-0.8331632570387761,8.992431616202676,0.38690932640179854,-0.9409032218864392,4.558288711809656,0.2044354616678048,0.529170062522781,-3.259752853291895,0.23132936142583538
C=C(NC=O)C(=O)OC,COC(=O)[C@@H](C)NC=O,0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0,0.0,5.293304824724491,1.0
C=C(OC(=O)N(C)C)c1ccccc1,C[C@@H](OC(=O)N(C)C)c1ccccc1,-8.012685303406505,12.625398942863336,1.0,-46.6179729754727,-19.784062334834402,1.0,-9.291947862362179,7.985954741944142,1.0,-1.6659566351349642,12.885853572215998,1.0,-0.4094389329887523,1.5133817961793032,1.0,-0.10805546288287052,1.5721902832173125,1.0
C=C(OC(=O)N(C)C)c1ccccc1,C[C@H](OC(=O)N(C)C)c1ccccc1,13.035465646378654,-18.41617884742126,0.04762035111576379,83.13698984769107,38.026179040427735,0.6195342678337858,0.5940198659952317,0.6981862042393464,0.0007922089258005638,0.24171385548121238,-0.802691947354446,0.07837203912303581,-1.0145363821232531,3.6591771204315653,0.34097693848290866,0.16951208506622523,-0.3278596527624802,0.017313346172560418
C=C(OC(=O)N(C)c1ccccc1)c1ccccc1,C[C@@H](OC(=O)N(C)c1ccccc1)c1ccccc1,12.808366990238337,-18.11641113680099,1.0,74.51935070469031,33.6904748548641,1.0,14.853282485048755,-10.700207741062645,1.0,2.6630502964542377,-18.53275077210866,1.0,0.6544927094019287,-0.35372756353729384,1.0,0.17272786481649088,-0.447733587186228,1.0
C=C(OC(=O)N(C)c1ccccc1)c1ccccc1,C[C@H](OC(=O)N(C)c1ccccc1)c1ccccc1,16.259321987276028,-23.392907133394264,0.10820222732960882,58.48592362823113,26.952205829527543,0.4477868031770087,0.7601165708299409,0.43423954570673806,0.001894480050642966,0.2178706209789089,-0.7490997868614255,0.09299235387612881,-0.7162868759712554,2.781783039052187,0.24823075407001893,0.24260108797404376,-1.1021191951421812,0.051791323868514594
C=C(OC(=O)N(CC)CC)C(C)(C)C,CCN(CC)C(=O)OC(C)C(C)(C)C,15.338231560361105,-22.189622837387443,0.09881573640396557,79.4747055391727,35.972863056025986,0.8895896276844784,5.500302964529112,-3.425367070851343,0.08757134191995286,-0.1862869666555378,2.2894835584759297,0.06965787188989259,-0.7600881526797977,2.5925684033204273,0.23434442999725724,0.1658042208803042,-0.6453889663320519,0.03003485401271111
